ip_dst,ip_len,ip_proto,ip_src,ip_time,ip_ttl,tcp_dport,tcp_flag,tcp_sport
192.168.2.201,60,6,192.168.2.100,1524372636.54874,64,23,S,38979
192.168.2.100,60,6,192.168.2.201,1524372636.54914,64,38979,SA,23
192.168.2.201,52,6,192.168.2.100,1524372636.549459,64,23,A,38979
192.168.2.100,60,6,192.168.2.201,1524372636.549724,64,113,S,48729
192.168.2.201,40,6,192.168.2.100,1524372636.550027,64,48729,RA,113
192.168.2.100,64,6,192.168.2.201,1524372636.551343,64,38979,PA,23
192.168.2.201,52,6,192.168.2.100,1524372636.551702,64,23,A,38979
192.168.2.201,55,6,192.168.2.100,1524372636.551999,64,23,PA,38979
192.168.2.100,52,6,192.168.2.201,1524372636.552295,64,38979,A,23
192.168.2.201,61,6,192.168.2.100,1524372636.552654,64,23,PA,38979
192.168.2.100,52,6,192.168.2.201,1524372636.553017,64,38979,A,23
192.168.2.100,67,6,192.168.2.201,1524372636.553274,64,38979,PA,23
192.168.2.201,55,6,192.168.2.100,1524372636.55369,64,23,PA,38979
192.168.2.100,52,6,192.168.2.201,1524372636.554246,64,38979,A,23
192.168.2.201,73,6,192.168.2.100,1524372636.554563,64,23,PA,38979
192.168.2.100,52,6,192.168.2.201,1524372636.554867,64,38979,A,23
192.168.2.100,55,6,192.168.2.201,1524372636.555261,64,38979,PA,23
192.168.2.201,55,6,192.168.2.100,1524372636.555622,64,23,PA,38979
192.168.2.100,121,6,192.168.2.201,1524372636.555953,64,38979,PA,23
192.168.2.201,56,6,192.168.2.100,1524372636.556266,64,23,PA,38979
192.168.2.100,56,6,192.168.2.201,1524372636.556602,64,38979,PA,23
192.168.2.201,52,6,192.168.2.100,1524372636.556894,64,23,A,38979
192.168.2.201,54,6,192.168.2.100,1524372636.5572,64,23,PA,38979
192.168.2.100,54,6,192.168.2.201,1524372636.557556,64,38979,PA,23
192.168.2.201,52,6,192.168.2.100,1524372636.557859,64,23,A,38979
192.168.2.100,62,6,192.168.2.201,1524372636.558165,64,38979,PA,23
192.168.2.201,52,6,192.168.2.100,1524372636.558563,64,23,A,38979
192.168.2.201,56,6,192.168.2.100,1524372636.558837,64,23,PA,38979
192.168.2.100,52,6,192.168.2.201,1524372636.559184,64,38979,A,23
192.168.2.201,54,6,192.168.2.100,1524372636.559479,64,23,PA,38979
192.168.2.100,52,6,192.168.2.201,1524372636.559779,64,38979,A,23
192.168.2.100,54,6,192.168.2.201,1524372636.560085,64,38979,PA,23
192.168.2.201,52,6,192.168.2.100,1524372636.56039,64,23,A,38979
